event_type,price,symbol,id,side,size,cross_seq,timestamp_e6
delete,47660.00,BTCUSD,476600000,Buy,,4775819908,1640274379247565
insert,48701.00,BTCUSD,487010000,Buy,902,4775819908,1640274379247565
update,48763.00,BTCUSD,487630000,Sell,57820,4775819912,1640274380247486
update,48762.50,BTCUSD,487625000,Sell,77610,4775819912,1640274380247486
update,48744.00,BTCUSD,487440000,Buy,162010,4775819912,1640274380247486
update,48762.00,BTCUSD,487620000,Sell,52370,4775819912,1640274380247486
update,48761.00,BTCUSD,487610000,Sell,15840,4775819916,1640274382147601
update,48746.50,BTCUSD,487465000,Buy,121820,4775819916,1640274382147601
update,48746.00,BTCUSD,487460000,Buy,62800,4775819916,1640274382147601
update,48678.00,BTCUSD,486780000,Buy,100,4775819917,1640274382347618
update,48760.00,BTCUSD,487600000,Sell,78150,4775819918,1640274382847562
update,48744.00,BTCUSD,487440000,Buy,34160,4775819924,1640274384147756
update,48763.00,BTCUSD,487630000,Sell,177850,4775819924,1640274384147756
update,48744.50,BTCUSD,487445000,Buy,72480,4775819924,1640274384147756
update,48762.50,BTCUSD,487625000,Sell,17070,4775819924,1640274384147756
update,48762.00,BTCUSD,487620000,Sell,126400,4775819924,1640274384147756
update,48686.00,BTCUSD,486860000,Buy,15,4775819925,1640274384247820
update,48678.00,BTCUSD,486780000,Buy,264,4775819926,1640274384347564
delete,48809.00,BTCUSD,488090000,Sell,,4775819927,1640274384947581
insert,49317.00,BTCUSD,493170000,Sell,1079,4775819927,1640274384947581
update,48799.50,BTCUSD,487995000,Sell,911,4775819928,1640274386047939
update,48762.50,BTCUSD,487625000,Sell,178800,4775819937,1640274386147491
update,48762.00,BTCUSD,487620000,Sell,20900,4775819937,1640274386147491
update,48760.50,BTCUSD,487605000,Sell,25250,4775819937,1640274386147491
update,48773.00,BTCUSD,487730000,Sell,158100,4775819937,1640274386147491
update,48761.00,BTCUSD,487610000,Sell,110910,4775819937,1640274386147491
update,48747.00,BTCUSD,487470000,Buy,98790,4775819937,1640274386147491
update,48763.00,BTCUSD,487630000,Sell,68350,4775819937,1640274386147491
update,48744.00,BTCUSD,487440000,Buy,107630,4775819937,1640274386147491
update,48761.50,BTCUSD,487615000,Sell,22390,4775819946,1640274388147926
update,48746.50,BTCUSD,487465000,Buy,30740,4775819946,1640274388147926
update,48762.00,BTCUSD,487620000,Sell,113410,4775819946,1640274388147926
update,48744.00,BTCUSD,487440000,Buy,191640,4775819946,1640274388147926
update,48773.00,BTCUSD,487730000,Sell,54710,4775819946,1640274388147926
update,48745.00,BTCUSD,487450000,Buy,15370,4775819946,1640274388147926
update,48761.00,BTCUSD,487610000,Sell,27190,4775819946,1640274388147926
update,48799.50,BTCUSD,487995000,Sell,1011,4775819947,1640274388847967
delete,48744.00,BTCUSD,487440000,Buy,,4775819977,1640274389647636
delete,48746.00,BTCUSD,487460000,Buy,,4775819977,1640274389647636
delete,48746.50,BTCUSD,487465000,Buy,,4775819977,1640274389647636
delete,48745.00,BTCUSD,487450000,Buy,,4775819977,1640274389647636
delete,48748.00,BTCUSD,487480000,Buy,,4775819977,1640274389647636
delete,48744.50,BTCUSD,487445000,Buy,,4775819977,1640274389647636
delete,48745.50,BTCUSD,487455000,Buy,,4775819977,1640274389647636
delete,48747.00,BTCUSD,487470000,Buy,,4775819977,1640274389647636
update,48773.00,BTCUSD,487730000,Sell,5700,4775819977,1640274389647636
update,48761.50,BTCUSD,487615000,Sell,84960,4775819977,1640274389647636
update,48762.50,BTCUSD,487625000,Sell,106300,4775819977,1640274389647636
update,48762.00,BTCUSD,487620000,Sell,7850,4775819977,1640274389647636
update,48763.00,BTCUSD,487630000,Sell,32120,4775819977,1640274389647636
insert,47660.00,BTCUSD,476600000,Buy,40,4775819977,1640274389647636
insert,48741.50,BTCUSD,487415000,Buy,113540,4775819977,1640274389647636
insert,48720.50,BTCUSD,487205000,Buy,209160,4775819977,1640274389647636
insert,47638.00,BTCUSD,476380000,Buy,486,4775819977,1640274389647636
insert,47640.00,BTCUSD,476400000,Buy,40,4775819977,1640274389647636
insert,48741.00,BTCUSD,487410000,Buy,131140,4775819977,1640274389647636
insert,48743.00,BTCUSD,487430000,Buy,128570,4775819977,1640274389647636
insert,48740.50,BTCUSD,487405000,Buy,102960,4775819977,1640274389647636
delete,48720.50,BTCUSD,487205000,Buy,,4775819988,1640274389747732
delete,47640.00,BTCUSD,476400000,Buy,,4775819988,1640274389747732
delete,47638.00,BTCUSD,476380000,Buy,,4775819988,1640274389747732
delete,48743.00,BTCUSD,487430000,Buy,,4775819988,1640274389747732
update,48760.50,BTCUSD,487605000,Sell,122570,4775819988,1640274389747732
update,48740.00,BTCUSD,487400000,Buy,148500,4775819988,1640274389747732
update,48763.00,BTCUSD,487630000,Sell,165370,4775819988,1640274389747732
update,48740.50,BTCUSD,487405000,Buy,39180,4775819988,1640274389747732
update,48686.00,BTCUSD,486860000,Buy,16,4775819988,1640274389747732
insert,48739.50,BTCUSD,487395000,Buy,118400,4775819988,1640274389747732
insert,48719.50,BTCUSD,487195000,Buy,186190,4775819988,1640274389747732
insert,48742.00,BTCUSD,487420000,Buy,124670,4775819988,1640274389747732
insert,48742.50,BTCUSD,487425000,Buy,98870,4775819988,1640274389747732
delete,47660.00,BTCUSD,476600000,Buy,,4775819989,1640274389847780
insert,48743.50,BTCUSD,487435000,Buy,12000,4775819989,1640274389847780
delete,48421.00,BTCUSD,484210000,Buy,,4775819994,1640274390947531
delete,48422.50,BTCUSD,484225000,Buy,,4775819994,1640274390947531
update,48799.50,BTCUSD,487995000,Sell,7,4775819994,1640274390947531
insert,48148.50,BTCUSD,481485000,Buy,61405,4775819994,1640274390947531
insert,47660.00,BTCUSD,476600000,Buy,40,4775819994,1640274390947531
delete,49317.00,BTCUSD,493170000,Sell,,4775820001,1640274391147538
update,48761.00,BTCUSD,487610000,Sell,125470,4775820001,1640274391147538
update,48773.00,BTCUSD,487730000,Sell,139260,4775820001,1640274391147538
update,48763.00,BTCUSD,487630000,Sell,3340,4775820001,1640274391147538
update,48741.00,BTCUSD,487410000,Buy,39420,4775820001,1640274391147538
update,48742.00,BTCUSD,487420000,Buy,41280,4775820001,1640274391147538
insert,48789.50,BTCUSD,487895000,Sell,1004,4775820001,1640274391147538
update,48760.50,BTCUSD,487605000,Sell,4180,4775820007,1640274393147516
update,48762.50,BTCUSD,487625000,Sell,17700,4775820007,1640274393147516
update,48719.50,BTCUSD,487195000,Buy,8200,4775820007,1640274393147516
update,48740.00,BTCUSD,487400000,Buy,7190,4775820007,1640274393147516
update,48762.00,BTCUSD,487620000,Sell,125840,4775820007,1640274393147516
delete,48743.50,BTCUSD,487435000,Buy,,4775820009,1640274394047628
insert,48743.00,BTCUSD,487430000,Buy,12000,4775820009,1640274394047628
delete,48742.50,BTCUSD,487425000,Buy,,4775820016,1640274395147561
